행정동코드,시도명,시군구명,읍면동명,면적(m^2),인구수,인구밀도
1114064500,서울특별시,중구,청구동,37010509,14529,0.39256417683961065
1114066500,서울특별시,중구,동화동,9959983,11008,1.105222769958543
1114066500,서울특별시,중구,동화동,2825782,11008,3.8955588223012247
1114066500,서울특별시,중구,동화동,7055185,11008,1.5602709213153163
1114066500,서울특별시,중구,동화동,140286900,11008,0.07846776855144708
1114066500,서울특별시,중구,동화동,62179185,11008,0.1770367366506975
1114066500,서울특별시,중구,동화동,37010509,11008,0.2974290356287724
1114067000,서울특별시,중구,황학동,9959983,12551,1.2601427130949923
1114067000,서울특별시,중구,황학동,2825782,12551,4.441602359983891
1114067000,서울특별시,중구,황학동,7055185,12551,1.7789753209873305
1114067000,서울특별시,중구,황학동,140286900,12551,0.08946665725737757
1114067000,서울특별시,중구,황학동,62179185,12551,0.20185211498027839
1114067000,서울특별시,중구,황학동,37010509,12551,0.3391198970000656
1114068000,서울특별시,중구,중림동,9959983,12757,1.2808254793205973
1114068000,서울특별시,중구,중림동,2825782,12757,4.514502534165763
1114068000,서울특별시,중구,중림동,7055185,12757,1.8081737048709565
1114068000,서울특별시,중구,중림동,140286900,12757,0.09093507661798786
1114068000,서울특별시,중구,중림동,62179185,12757,0.20516512077152507
1114068000,서울특별시,중구,중림동,37010509,12757,0.34468588367698483
2611000000,부산광역시,중구,,9959983,42543,4.27139283269861
2611000000,부산광역시,중구,,2825782,42543,15.055301505919422
2611000000,부산광역시,중구,,7055185,42543,6.030033230879133
2611000000,부산광역시,중구,,140286900,42543,0.30325711096331875
2611000000,부산광역시,중구,,62179185,42543,0.6842000261019825
2611000000,부산광역시,중구,,37010509,42543,1.1494843261950276
2611051000,부산광역시,중구,중앙동,9959983,1875,0.1882533333641232
2611051000,부산광역시,중구,중앙동,2825782,1875,0.663533138791315
2611051000,부산광역시,중구,중앙동,7055185,1875,0.26576198923203287
2611051000,부산광역시,중구,중앙동,140286900,1875,0.013365467481283
2611051000,부산광역시,중구,중앙동,62179185,1875,0.030154785721298857
2611051000,부산광역시,중구,중앙동,37010509,1875,0.05066128650108541
2611052000,부산광역시,중구,동광동,9959983,3116,0.31285193960672425
2611052000,부산광역시,중구,동광동,2825782,3116,1.1027036055859936
2611052000,부산광역시,중구,동광동,7055185,3116,0.44166099117174107
2611052000,부산광역시,중구,동광동,140286900,3116,0.022211624891561508
2611052000,부산광역시,중구,동광동,62179185,3116,0.05011323323070253
2611052000,부산광역시,중구,동광동,37010509,3116,0.08419230332660381
2611053000,부산광역시,중구,대청동,9959983,6816,0.6843385174452606
2611053000,부산광역시,중구,대청동,2825782,6816,2.4120756661341884
2611053000,부산광역시,중구,대청동,7055185,6816,0.9660979832562859
2611053000,부산광역시,중구,대청동,140286900,6816,0.04858614738795996
2611053000,부산광역시,중구,대청동,62179185,6816,0.10961867705406561
2611053000,부산광역시,중구,대청동,37010509,6816,0.1841639086887457
2611054500,부산광역시,중구,보수동,9959983,10855,1.0898612979560307
2611054500,부산광역시,중구,보수동,2825782,10855,3.841414518175853
2611054500,부산광역시,중구,보수동,7055185,10855,1.5385847429939823
2611054500,부산광역시,중구,보수동,140286900,10855,0.07737714640497438
2611054500,부산광역시,중구,보수동,62179185,10855,0.17457610613583951
2611054500,부산광역시,중구,보수동,37010509,10855,0.2932950746502838
2611056000,부산광역시,중구,부평동,9959983,4772,0.47911728363391787
2611056000,부산광역시,중구,부평동,2825782,4772,1.688736073766483
2611056000,부산광역시,중구,부평동,7055185,4772,0.6763819800614724
2611056000,부산광역시,중구,부평동,140286900,4772,0.03401600577103065
2611056000,부산광역시,중구,부평동,62179185,4772,0.07674593997975368
2611056000,부산광역시,중구,부평동,37010509,4772,0.12893635156436245
2611057000,부산광역시,중구,광복동,9959983,1171,0.11757048179700708
2611057000,부산광역시,중구,광복동,2825782,1171,0.4143985629464693
2611057000,부산광역시,중구,광복동,7055185,1171,0.16597722100837894
2611057000,부산광역시,중구,광복동,140286900,1171,0.008347179957643943
2611057000,부산광역시,중구,광복동,62179185,1171,0.01883266884247518
2611057000,부산광역시,중구,광복동,37010509,1171,0.03163966212947787
2611058000,부산광역시,중구,남포동,9959983,1089,0.10933753601788276
2611058000,부산광역시,중구,남포동,2825782,1089,0.3853800470099958
2611058000,부산광역시,중구,남포동,7055185,1089,0.1543545633459647
2611058000,부산광역시,중구,남포동,140286900,1089,0.007762663513129166
2611058000,부산광역시,중구,남포동,62179185,1089,0.017513899546930375
2611058000,부산광역시,중구,남포동,37010509,1089,0.029424075199830407
2711000000,대구광역시,중구,,9959983,78504,7.881941163955802
2711000000,대구광역시,중구,,2825782,78504,27.781336281425812
2711000000,대구광역시,중구,,7055185,78504,11.127135574758139
2711000000,대구광역시,중구,,140286900,78504,0.5595960848803416
2711000000,대구광역시,중구,,62179185,78504,1.2625446924079176
2711000000,대구광역시,중구,,37010509,78504,2.1211272722566448
2711051700,대구광역시,중구,동인동,9959983,9787,0.9826321992718261
2711051700,대구광역시,중구,동인동,2825782,9787,3.4634660423203205
2711051700,대구광역시,중구,동인동,7055185,9787,1.3872067139274165
2711051700,대구광역시,중구,동인동,140286900,9787,0.06976417612763558
2711051700,대구광역시,중구,동인동,62179185,9787,0.15739994018898767
2711051700,대구광역시,중구,동인동,37010509,9787,0.26443840585926554
2711054500,대구광역시,중구,삼덕동,9959983,6614,0.6640573583308325
2711054500,대구광역시,중구,삼덕동,2825782,6614,2.3405910293150707
2711054500,대구광역시,중구,삼덕동,7055185,6614,0.9374665582830216
2711054500,대구광역시,중구,삼덕동,140286900,6614,0.04714624102464307
2711054500,대구광역시,중구,삼덕동,62179185,6614,0.10637000147235767
2711054500,대구광역시,중구,삼덕동,37010509,6614,0.17870599942302876
2711059500,대구광역시,중구,대신동,9959983,8313,0.8346399788031766
2711059500,대구광역시,중구,대신동,2825782,8313,2.9418405241451744
2711059500,대구광역시,중구,대신동,7055185,8313,1.178282355459141
2711059500,대구광역시,중구,대신동,140286900,8313,0.05925713662501631
2711059500,대구광역시,중구,대신동,62179185,8313,0.13369425797395063
2711059500,대구광역시,중구,대신동,37010509,8313,0.22461187983121228
2811000000,인천광역시,중구,,9959983,127766,12.827933541653636
2811000000,인천광역시,중구,,2825782,127766,45.21438667243262
2811000000,인천광역시,중구,,7055185,127766,18.109518035317286
2811000000,인천광역시,중구,,140286900,127766,0.9107479030472554
2811000000,인천광역시,중구,,62179185,127766,2.0548033879826506
2811000000,인천광역시,중구,,37010509,127766,3.4521546299187618
2811052000,인천광역시,중구,연안동,9959983,6753,0.6780132054442262
2811052000,인천광역시,중구,연안동,2825782,6753,2.3897809526708005
2811052000,인천광역시,중구,연안동,7055185,6753,0.9571683804180896
2811052000,인천광역시,중구,연안동,140286900,6753,0.048137067680588855
2811052000,인천광역시,중구,연안동,62179185,6753,0.10860547625382996
2811052000,인천광역시,중구,연안동,37010509,6753,0.1824616894623092
2811053000,인천광역시,중구,신포동,9959983,5397,0.5418683947552922
2811053000,인천광역시,중구,신포동,2825782,5397,1.9099137866969214
2811053000,인천광역시,중구,신포동,7055185,5397,0.7649693098054834
2811053000,인천광역시,중구,신포동,140286900,5397,0.038471161598124984
2811053000,인천광역시,중구,신포동,62179185,5397,0.08679753522018663
2811053000,인천광역시,중구,신포동,37010509,5397,0.14582344706472425
2811054000,인천광역시,중구,신흥동,9959983,13715,1.37701038244744
2811054000,인천광역시,중구,신흥동,2825782,13715,4.853523732545539
2811054000,인천광역시,중구,신흥동,7055185,13715,1.9439603639025764
2811054000,인천광역시,중구,신흥동,140286900,13715,0.09776393946975805
2811054000,인천광역시,중구,신흥동,62179185,13715,0.2205722059560607
2811054000,인천광역시,중구,신흥동,37010509,13715,0.3705704236599394
2811056000,인천광역시,중구,도원동,9959983,4271,0.4288159929590241
2811056000,인천광역시,중구,도원동,2825782,4271,1.5114400190814437
2811056000,인천광역시,중구,도원동,7055185,4271,0.6053703765386733
2811056000,인천광역시,중구,도원동,140286900,4271,0.030444752860031836
2811056000,인천광역시,중구,도원동,62179185,4271,0.06868858123502262
2811056000,인천광역시,중구,도원동,37010509,4271,0.11539965581127241
2811057000,인천광역시,중구,율목동,9959983,3714,0.3728922027276553
2811057000,인천광역시,중구,율목동,2825782,3714,1.3143264413178368
2811057000,인천광역시,중구,율목동,7055185,3714,0.5264213482708108
2811057000,인천광역시,중구,율목동,140286900,3714,0.026474317986925365
2811057000,인천광역시,중구,율목동,62179185,3714,0.059730599556748774
2811057000,인천광역시,중구,율목동,37010509,3714,0.10034987630134998
2811058500,인천광역시,중구,동인천동,9959983,6208,0.6232942365463877
2811058500,인천광역시,중구,동인천동,2825782,6208,2.196913986995458
2811058500,인천광역시,중구,동인천동,7055185,6208,0.879920228881312
2811058500,인천광역시,중구,동인천동,140286900,6208,0.0442521717993626
2811058500,인천광역시,중구,동인천동,62179185,6208,0.09984048520417244
2811058500,인천광역시,중구,동인천동,37010509,6208,0.16773614218599373
2811060000,인천광역시,중구,북성동,9959983,3090,0.31024149338407503
2811060000,인천광역시,중구,북성동,2825782,3090,1.0935026127280874
2811060000,인천광역시,중구,북성동,7055185,3090,0.43797575825439017
2811060000,인천광역시,중구,북성동,140286900,3090,0.022026290409154384
2811060000,인천광역시,중구,북성동,62179185,3090,0.049695086868700514
2811060000,인천광역시,중구,북성동,37010509,3090,0.08348980015378876
2811061000,인천광역시,중구,송월동,9959983,4656,0.46747067740979076
2811061000,인천광역시,중구,송월동,2825782,4656,1.6476854902465936
2811061000,인천광역시,중구,송월동,7055185,4656,0.6599401716609841
2811061000,인천광역시,중구,송월동,140286900,4656,0.033189128849521944
2811061000,인천광역시,중구,송월동,62179185,4656,0.07488036390312933
2811061000,인천광역시,중구,송월동,37010509,4656,0.1258021066394953
2811062000,인천광역시,중구,영종동,9959983,14955,1.5015085869122466
2811062000,인천광역시,중구,영종동,2825782,14955,5.292340314999529
2811062000,인천광역시,중구,영종동,7055185,14955,2.1197176261146944
2811062000,인천광역시,중구,영종동,140286900,14955,0.10660296863071321
2811062000,인천광역시,중구,영종동,62179185,14955,0.24051457091307968
2811062000,인천광역시,중구,영종동,37010509,14955,0.40407442113265724
2811062800,인천광역시,중구,운서동,9959983,26989,2.709743580887638
2811062800,인천광역시,중구,운서동,2825782,26989,9.55098447084736
2811062800,인천광역시,중구,운서동,7055185,26989,3.8254135079377787
2811062800,인천광역시,중구,운서동,140286900,26989,0.19238432098791833
2811062800,인천광역시,중구,운서동,62179185,26989,0.4340520063104719
2811062800,인천광역시,중구,운서동,37010509,26989,0.7292253127348235
2811063000,인천광역시,중구,용유동,9959983,4325,0.4342376889599109
2811063000,인천광역시,중구,용유동,2825782,4325,1.5305497734786335
2811063000,인천광역시,중구,용유동,7055185,4325,0.6130243218285558
2811063000,인천광역시,중구,용유동,140286900,4325,0.030829678323492787
2811063000,인천광역시,중구,용유동,62179185,4325,0.06955703906379603
2811063000,인천광역시,중구,용유동,37010509,4325,0.11685870086250368
3014000000,대전광역시,중구,,9959983,243096,24.40727057465861
3014000000,대전광역시,중구,,2825782,243096,86.02786768406055
3014000000,대전광역시,중구,,7055185,243096,34.45636081832014
3014000000,대전광역시,중구,,140286900,243096,1.7328488975093186
3014000000,대전광역시,중구,,62179185,243096,3.9096041545092626
3014000000,대전광역시,중구,,37010509,243096,6.568296588409525
3014053500,대전광역시,중구,은행선화동,9959983,17627,1.7697821371783466
3014053500,대전광역시,중구,은행선화동,2825782,17627,6.237919273319739
3014053500,대전광역시,중구,은행선화동,7055185,17627,2.49844617823629
3014053500,대전광역시,중구,은행선화동,140286900,17627,0.1256496508227069
3014053500,대전광역시,중구,은행선화동,62179185,17627,0.28348715088497867
3014053500,대전광역시,중구,은행선화동,37010509,17627,0.476270131815804
3014055000,대전광역시,중구,목동,9959983,15088,1.5148620233588752
3014055000,대전광역시,중구,목동,2825782,15088,5.339406932311126
3014055000,대전광역시,중구,목동,7055185,15088,2.1385690098842196
3014055000,대전광역시,중구,목동,140286900,15088,0.10755102579071889
3014055000,대전광역시,중구,목동,62179185,15088,0.2426535503802438
3014055000,대전광역시,중구,목동,37010509,15088,0.40766799505513424
3014056000,대전광역시,중구,중촌동,9959983,14120,1.4176731024540905
3014056000,대전광역시,중구,중촌동,2825782,14120,4.996846890524464
3014056000,대전광역시,중구,중촌동,7055185,14120,2.0013649535766955
3014056000,대전광역시,중구,중촌동,140286900,14120,0.10065088044571517
3014056000,대전광역시,중구,중촌동,62179185,14120,0.22708563967186127
3014056000,대전광역시,중구,중촌동,37010509,14120,0.38151326154417387
3014057500,대전광역시,중구,대흥동,9959983,14058,1.4114481922308502
3014057500,대전광역시,중구,대흥동,2825782,14058,4.9749060614017635
3014057500,대전광역시,중구,대흥동,7055185,14058,1.9925770904660898
3014057500,대전광역시,중구,대흥동,140286900,14058,0.10020892898766742
3014057500,대전광역시,중구,대흥동,62179185,14058,0.2260885214240103
3014057500,대전광역시,중구,대흥동,37010509,14058,0.37983806167053796
3014060500,대전광역시,중구,문창동,9959983,4849,0.4868482205240712
3014060500,대전광역시,중구,문창동,2825782,4849,1.715985167999513
3014060500,대전광역시,중구,문창동,7055185,4849,0.6872959390859347
3014060500,대전광역시,중구,문창동,140286900,4849,0.03456488096892867
3014060500,대전광역시,중구,문창동,62179185,4849,0.07798429651337502
3014060500,대전광역시,중구,문창동,37010509,4849,0.13101684173000702
3014062000,대전광역시,중구,석교동,9959983,16306,1.6371513887122096
3014062000,대전광역시,중구,석교동,2825782,16306,5.7704380592699644
3014062000,대전광역시,중구,석교동,7055185,16306,2.3112079980893485
3014062000,대전광역시,중구,석교동,140286900,16306,0.11623323346656032
3014062000,대전광역시,중구,석교동,62179185,16306,0.26224209918479957
3014062000,대전광역시,중구,석교동,37010509,16306,0.4405775667662393
3014063000,대전광역시,중구,대사동,9959983,5576,0.5598403129804539
3014063000,대전광역시,중구,대사동,2825782,5576,1.9732590836801989
3014063000,대전광역시,중구,대사동,7055185,5576,0.7903407210441682
3014063000,대전광역시,중구,대사동,140286900,5576,0.0397471182270048
3014063000,대전광역시,중구,대사동,62179185,5576,0.08967631209704663
3014063000,대전광역시,중구,대사동,37010509,5576,0.15065991121602787
3014064000,대전광역시,중구,부사동,9959983,7150,0.7178727112285231
3014064000,대전광역시,중구,부사동,2825782,7150,2.530273035924215
3014064000,대전광역시,중구,부사동,7055185,7150,1.0134390522714853
3014064000,대전광역시,중구,부사동,140286900,7150,0.050966982661959176
3014064000,대전광역시,중구,부사동,62179185,7150,0.11499024955055298
3014064000,대전광역시,중구,부사동,37010509,7150,0.19318837252413903
3014065500,대전광역시,중구,용두동,9959983,10129,1.0169696072774421
3014065500,대전광역시,중구,용두동,2825782,10129,3.5844944868358564
3014065500,대전광역시,중구,용두동,7055185,10129,1.4356817007633391
3014065500,대전광역시,중구,용두동,140286900,10129,0.07220203739622161
3014065500,대전광역시,중구,용두동,62179185,10129,0.1629001731045526
3014065500,대전광역시,중구,용두동,37010509,10129,0.27367902451706355
3014067000,대전광역시,중구,오류동,9959983,10523,1.0565279077283565
3014067000,대전광역시,중구,오류동,2825782,10523,3.7239249170672046
3014067000,대전광역시,중구,오류동,7055185,10523,1.4915271534339638
3014067000,대전광역시,중구,오류동,140286900,10523,0.07501056762962187
3014067000,대전광역시,중구,오류동,62179185,10523,0.16923669874412153
3014067000,대전광역시,중구,오류동,37010509,10523,0.28432464952049163
3014074000,대전광역시,중구,산성동,9959983,28520,2.863458702690557
3014074000,대전광역시,중구,산성동,2825782,28520,10.092781396441763
3014074000,대전광역시,중구,산성동,7055185,28520,4.042417030878708
3014074000,대전광역시,중구,산성동,140286900,28520,0.2032976707019686
3014074000,대전광역시,중구,산성동,62179185,28520,0.4586743940114365
3014074000,대전광역시,중구,산성동,37010509,28520,0.7705919418725098
3111000000,울산광역시,중구,,9959983,228014,22.8930109619665
3111000000,울산광역시,중구,,2825782,228014,80.69058405779356
3111000000,울산광역시,중구,,7055185,228014,32.31864224680147
3111000000,울산광역시,중구,,140286900,228014,1.6253406412145397
3111000000,울산광역시,중구,,62179185,228014,3.6670470994433266
3111000000,울산광역시,중구,,37010509,228014,6.160790709471194
3111051000,울산광역시,중구,학성동,9959983,10436,1.0477929530602612
3111051000,울산광역시,중구,학성동,2825782,10436,3.6931369794272877
3111051000,울산광역시,중구,학성동,7055185,10436,1.4791957971335974
3111051000,울산광역시,중구,학성동,140286900,10436,0.07439040993849035
3111051000,울산광역시,중구,학성동,62179185,10436,0.16783751668665325
3111051000,울산광역시,중구,학성동,37010509,10436,0.28197396582684126
3111058500,울산광역시,중구,중앙동,9959983,14346,1.4403639042355796
3111058500,울산광역시,중구,중앙동,2825782,14346,5.0768247515201095
3111058500,울산광역시,중구,중앙동,7055185,14346,2.03339813201213
3111058500,울산광역시,중구,중앙동,140286900,14346,0.10226186479279249
3111058500,울산광역시,중구,중앙동,62179185,14346,0.2307202965108018
3111058500,울산광역시,중구,중앙동,37010509,14346,0.3876196352771047
3111059000,울산광역시,중구,우정동,9959983,20583,2.066569792337999
3111059000,울산광역시,중구,우정동,2825782,20583,7.28400138439554
3111059000,울산광역시,중구,우정동,7055185,20583,2.917428812993564
3111059000,울산광역시,중구,우정동,140286900,20583,0.14672075582253227
3111059000,울산광역시,중구,우정동,62179185,20583,0.3310271757341303
3111059000,울산광역시,중구,우정동,37010509,20583,0.5561393386943152
3111060000,울산광역시,중구,태화동,9959983,34990,3.5130582050190244
3111060000,울산광역시,중구,태화동,2825782,34990,12.382413080697662
3111060000,울산광역시,중구,태화동,7055185,34990,4.95947306838871
3111060000,울산광역시,중구,태화동,140286900,34990,0.24941744382404915
3111060000,울산광역시,중구,태화동,62179185,34990,0.5627285079403984
3111060000,울산광역시,중구,태화동,37010509,34990,0.9454071544922552
3111061000,울산광역시,중구,다운동,9959983,25002,2.5102452484105644
3111061000,울산광역시,중구,다운동,2825782,25002,8.847816285898912
3111061000,울산광역시,중구,다운동,7055185,25002,3.543776669215619
3111061000,울산광역시,중구,다운동,140286900,25002,0.17822048958242004
3111061000,울산광역시,중구,다운동,62179185,25002,0.40209597472208747
3111061000,울산광역시,중구,다운동,37010509,25002,0.6755378587200733
3111064000,울산광역시,중구,약사동,9959983,11229,1.127411562851061
3111064000,울산광역시,중구,약사동,2825782,11229,3.973767261593428
3111064000,울산광역시,중구,약사동,7055185,11229,1.5915954011127984
3111064000,울산광역시,중구,약사동,140286900,11229,0.08004311165190763
3111064000,울산광역시,중구,약사동,62179185,11229,0.1805909807277146
3111064000,울산광역시,중구,약사동,37010509,11229,0.3034003125977003
3111065000,울산광역시,중구,성안동,9959983,21639,2.172594069688673
3111065000,울산광역시,중구,성안동,2825782,21639,7.657703248162809
3111065000,울산광역시,중구,성안동,7055185,21639,3.067105965329045
3111065000,울산광역시,중구,성안동,140286900,21639,0.15424818710799085
3111065000,울산광역시,중구,성안동,62179185,21639,0.34801035105236583
3111065000,울산광역시,중구,성안동,37010509,21639,0.5846717752517265
1117000000,서울특별시,용산구,,21866384,228940,10.469952416458066
1117051000,서울특별시,용산구,후암동,21866384,18128,0.8290351070391885
1117053000,서울특별시,용산구,남영동,21866384,7831,0.3581296294805762
1117055500,서울특별시,용산구,청파동,21866384,20018,0.9154691511865884
1117058000,서울특별시,용산구,효창동,21866384,8967,0.4100815205659975
1117059000,서울특별시,용산구,용문동,21866384,12581,0.5753580473113432
1117062500,서울특별시,용산구,한강로동,21866384,17790,0.8135775901493361
1117068500,서울특별시,용산구,한남동,21866384,20563,0.9403932538640133
1117069000,서울특별시,용산구,서빙고동,21866384,13506,0.6176604234152294
1117070000,서울특별시,용산구,보광동,21866384,14759,0.6749629934240613
1120000000,서울특별시,성동구,,16859343,305785,18.13742089475254
1120053500,서울특별시,성동구,왕십리도선동,16859343,27384,1.624262582474299
1120054000,서울특별시,성동구,마장동,16859343,23478,1.3925809564465235
1120055000,서울특별시,성동구,사근동,16859343,11767,0.6979512784098407
1120058000,서울특별시,성동구,응봉동,16859343,16193,0.9604763364740844
1120064500,서울특별시,성동구,옥수동,16859343,27013,1.602256980002127
1120072000,서울특별시,성동구,송정동,16859343,11181,0.6631931030764365
1120079000,서울특별시,성동구,용답동,16859343,13428,0.7964723180494043
1121500000,서울특별시,광진구,,17062949,354344,20.76686743891692
1121571000,서울특별시,광진구,화양동,17062949,21797,1.2774462374587183
1121573000,서울특별시,광진구,군자동,17062949,19967,1.1701963124897108
1121578000,서울특별시,광진구,능동,17062949,11507,0.6743851839444636
1121581000,서울특별시,광진구,광장동,17062949,36020,2.1110067198817744
1123000000,서울특별시,동대문구,,14215360,346312,24.361817076739527
1123053600,서울특별시,동대문구,용신동,14215360,30589,2.151827319181505
1123054500,서울특별시,동대문구,제기동,14215360,25235,1.7751924678657451
1123070500,서울특별시,동대문구,청량리동,14215360,21656,1.5234225513810413
1123071000,서울특별시,동대문구,회기동,14215360,10364,0.7290705265290502
1126000000,서울특별시,중랑구,,18496071,401546,21.709799881282894
1126056500,서울특별시,중랑구,면목본동,18496071,35701,1.930193715194973
1126065500,서울특별시,중랑구,망우본동,18496071,31378,1.6964684013161497
1129000000,서울특별시,성북구,,24574349,439754,17.894838231523448
1129052500,서울특별시,성북구,성북동,24574349,17231,0.7011782896059626
1129055500,서울특별시,성북구,삼선동,24574349,26252,1.0682683801715356
1129057500,서울특별시,성북구,동선동,24574349,15550,0.6327736291203482
1129060000,서울특별시,성북구,안암동,24574349,15358,0.624960604246322
1129061000,서울특별시,성북구,보문동,24574349,16556,0.6737106240332145
1129070500,서울특별시,성북구,종암동,24574349,40663,1.654692866940239
1129081000,서울특별시,성북구,석관동,24574349,35198,1.4323065078956922
1130500000,서울특별시,강북구,,23600102,316604,13.415365747148043
1130553400,서울특별시,강북구,삼양동,23600102,26036,1.1032155708479565
1130553500,서울특별시,강북구,미아동,23600102,22593,0.9573263708775497
1130554500,서울특별시,강북구,송중동,23600102,28657,1.2142744128817748
1130555500,서울특별시,강북구,송천동,23600102,28654,1.2141472947871157
1130557500,서울특별시,강북구,삼각산동,23600102,33098,1.4024515656754366
1130564500,서울특별시,강북구,우이동,23600102,21432,0.9081316682444848
