행정동코드,시도명,시군구명,읍면동명,2020인구수,2019인구수,면적,2019인구밀도,2020인구밀도
1114066500,서울특별시,중구,동화동,10798,11008,0.26,42338.46153846154,41530.76923076923
1114066500,서울특별시,중구,동화동,10798,11008,0.26,42338.46153846154,41530.76923076923
1114066500,서울특별시,중구,동화동,10798,11008,0.26,42338.46153846154,41530.76923076923
1114066500,서울특별시,중구,동화동,10798,11008,0.26,42338.46153846154,41530.76923076923
1114067000,서울특별시,중구,황학동,12725,12551,0.33,38033.33333333333,38560.60606060606
1114067000,서울특별시,중구,황학동,12725,12551,0.33,38033.33333333333,38560.60606060606
1114067000,서울특별시,중구,황학동,12725,12551,0.33,38033.33333333333,38560.60606060606
1114067000,서울특별시,중구,황학동,12725,12551,0.33,38033.33333333333,38560.60606060606
1114067000,서울특별시,중구,황학동,12725,12551,0.33,38033.33333333333,38560.60606060606
1114067000,서울특별시,중구,황학동,12725,12551,0.33,38033.33333333333,38560.60606060606
1114068000,서울특별시,중구,중림동,12595,12757,0.48,26577.083333333336,26239.583333333336
1114068000,서울특별시,중구,중림동,12595,12757,0.48,26577.083333333336,26239.583333333336
1114068000,서울특별시,중구,중림동,12595,12757,0.48,26577.083333333336,26239.583333333336
1114068000,서울특별시,중구,중림동,12595,12757,0.48,26577.083333333336,26239.583333333336
1114068000,서울특별시,중구,중림동,12595,12757,0.48,26577.083333333336,26239.583333333336
1114068000,서울특별시,중구,중림동,12595,12757,0.48,26577.083333333336,26239.583333333336
2611051000,부산광역시,중구,중앙동,2200,1875,0.6,3125.0,3666.666666666667
2611051000,부산광역시,중구,중앙동,2200,1875,0.6,3125.0,3666.666666666667
2611051000,부산광역시,중구,중앙동,2200,1875,0.6,3125.0,3666.666666666667
2611051000,부산광역시,중구,중앙동,2200,1875,0.6,3125.0,3666.666666666667
2611051000,부산광역시,중구,중앙동,2200,1875,0.6,3125.0,3666.666666666667
2611051000,부산광역시,중구,중앙동,2200,1875,0.6,3125.0,3666.666666666667
2611052000,부산광역시,중구,동광동,2964,3116,0.17,18329.41176470588,17435.294117647056
2611052000,부산광역시,중구,동광동,2964,3116,0.17,18329.41176470588,17435.294117647056
2611052000,부산광역시,중구,동광동,2964,3116,0.17,18329.41176470588,17435.294117647056
2611052000,부산광역시,중구,동광동,2964,3116,0.17,18329.41176470588,17435.294117647056
2611052000,부산광역시,중구,동광동,2964,3116,0.17,18329.41176470588,17435.294117647056
2611052000,부산광역시,중구,동광동,2964,3116,0.17,18329.41176470588,17435.294117647056
2611053000,부산광역시,중구,대청동,6601,6816,0.35,19474.285714285714,18860.0
2611053000,부산광역시,중구,대청동,6601,6816,0.35,19474.285714285714,18860.0
2611053000,부산광역시,중구,대청동,6601,6816,0.35,19474.285714285714,18860.0
2611053000,부산광역시,중구,대청동,6601,6816,0.35,19474.285714285714,18860.0
2611053000,부산광역시,중구,대청동,6601,6816,0.35,19474.285714285714,18860.0
2611053000,부산광역시,중구,대청동,6601,6816,0.35,19474.285714285714,18860.0
2611054500,부산광역시,중구,보수동,10740,10855,0.42,25845.238095238095,25571.428571428572
2611054500,부산광역시,중구,보수동,10740,10855,0.42,25845.238095238095,25571.428571428572
2611054500,부산광역시,중구,보수동,10740,10855,0.42,25845.238095238095,25571.428571428572
2611054500,부산광역시,중구,보수동,10740,10855,0.42,25845.238095238095,25571.428571428572
2611054500,부산광역시,중구,보수동,10740,10855,0.42,25845.238095238095,25571.428571428572
2611054500,부산광역시,중구,보수동,10740,10855,0.42,25845.238095238095,25571.428571428572
2611057000,부산광역시,중구,광복동,1086,1171,0.21,5576.190476190476,5171.428571428572
2611057000,부산광역시,중구,광복동,1086,1171,0.21,5576.190476190476,5171.428571428572
2611057000,부산광역시,중구,광복동,1086,1171,0.21,5576.190476190476,5171.428571428572
2611057000,부산광역시,중구,광복동,1086,1171,0.21,5576.190476190476,5171.428571428572
2611057000,부산광역시,중구,광복동,1086,1171,0.21,5576.190476190476,5171.428571428572
2611057000,부산광역시,중구,광복동,1086,1171,0.21,5576.190476190476,5171.428571428572
2711051700,대구광역시,중구,동인동,8957,9787,0.99,9885.858585858587,9047.474747474747
2711051700,대구광역시,중구,동인동,8957,9787,0.99,9885.858585858587,9047.474747474747
2711051700,대구광역시,중구,동인동,8957,9787,0.99,9885.858585858587,9047.474747474747
2711051700,대구광역시,중구,동인동,8957,9787,0.99,9885.858585858587,9047.474747474747
2711051700,대구광역시,중구,동인동,8957,9787,0.99,9885.858585858587,9047.474747474747
2711051700,대구광역시,중구,동인동,8957,9787,0.99,9885.858585858587,9047.474747474747
2711059500,대구광역시,중구,대신동,8247,8313,0.52,15986.538461538461,15859.615384615385
2711059500,대구광역시,중구,대신동,8247,8313,0.52,15986.538461538461,15859.615384615385
2711059500,대구광역시,중구,대신동,8247,8313,0.52,15986.538461538461,15859.615384615385
2711059500,대구광역시,중구,대신동,8247,8313,0.52,15986.538461538461,15859.615384615385
2711059500,대구광역시,중구,대신동,8247,8313,0.52,15986.538461538461,15859.615384615385
2711059500,대구광역시,중구,대신동,8247,8313,0.52,15986.538461538461,15859.615384615385
2811052000,인천광역시,중구,연안동,6472,6753,4.7,1436.8085106382978,1377.0212765957447
2811052000,인천광역시,중구,연안동,6472,6753,4.7,1436.8085106382978,1377.0212765957447
2811052000,인천광역시,중구,연안동,6472,6753,4.7,1436.8085106382978,1377.0212765957447
2811052000,인천광역시,중구,연안동,6472,6753,4.7,1436.8085106382978,1377.0212765957447
2811052000,인천광역시,중구,연안동,6472,6753,4.7,1436.8085106382978,1377.0212765957447
2811052000,인천광역시,중구,연안동,6472,6753,4.7,1436.8085106382978,1377.0212765957447
2811054000,인천광역시,중구,신흥동,13440,13715,3.52,3896.306818181818,3818.181818181818
2811054000,인천광역시,중구,신흥동,13440,13715,3.52,3896.306818181818,3818.181818181818
2811054000,인천광역시,중구,신흥동,13440,13715,3.52,3896.306818181818,3818.181818181818
2811054000,인천광역시,중구,신흥동,13440,13715,3.52,3896.306818181818,3818.181818181818
2811054000,인천광역시,중구,신흥동,13440,13715,3.52,3896.306818181818,3818.181818181818
2811054000,인천광역시,중구,신흥동,13440,13715,3.52,3896.306818181818,3818.181818181818
2811056000,인천광역시,중구,도원동,4141,4271,0.26,16426.923076923078,15926.923076923076
2811056000,인천광역시,중구,도원동,4141,4271,0.26,16426.923076923078,15926.923076923076
2811056000,인천광역시,중구,도원동,4141,4271,0.26,16426.923076923078,15926.923076923076
2811056000,인천광역시,중구,도원동,4141,4271,0.26,16426.923076923078,15926.923076923076
2811056000,인천광역시,중구,도원동,4141,4271,0.26,16426.923076923078,15926.923076923076
2811056000,인천광역시,중구,도원동,4141,4271,0.26,16426.923076923078,15926.923076923076
2811057000,인천광역시,중구,율목동,3485,3714,0.18,20633.333333333336,19361.111111111113
2811057000,인천광역시,중구,율목동,3485,3714,0.18,20633.333333333336,19361.111111111113
2811057000,인천광역시,중구,율목동,3485,3714,0.18,20633.333333333336,19361.111111111113
2811057000,인천광역시,중구,율목동,3485,3714,0.18,20633.333333333336,19361.111111111113
2811057000,인천광역시,중구,율목동,3485,3714,0.18,20633.333333333336,19361.111111111113
2811057000,인천광역시,중구,율목동,3485,3714,0.18,20633.333333333336,19361.111111111113
2811058500,인천광역시,중구,동인천동,6035,6208,0.64,9700.0,9429.6875
2811058500,인천광역시,중구,동인천동,6035,6208,0.64,9700.0,9429.6875
2811058500,인천광역시,중구,동인천동,6035,6208,0.64,9700.0,9429.6875
2811058500,인천광역시,중구,동인천동,6035,6208,0.64,9700.0,9429.6875
2811058500,인천광역시,중구,동인천동,6035,6208,0.64,9700.0,9429.6875
2811058500,인천광역시,중구,동인천동,6035,6208,0.64,9700.0,9429.6875
2811060000,인천광역시,중구,북성동,2962,3090,3.02,1023.1788079470199,980.794701986755
2811060000,인천광역시,중구,북성동,2962,3090,3.02,1023.1788079470199,980.794701986755
2811060000,인천광역시,중구,북성동,2962,3090,3.02,1023.1788079470199,980.794701986755
2811060000,인천광역시,중구,북성동,2962,3090,3.02,1023.1788079470199,980.794701986755
2811060000,인천광역시,중구,북성동,2962,3090,3.02,1023.1788079470199,980.794701986755
2811060000,인천광역시,중구,북성동,2962,3090,3.02,1023.1788079470199,980.794701986755
2811061000,인천광역시,중구,송월동,4599,4656,0.22,21163.636363636364,20904.545454545456
2811061000,인천광역시,중구,송월동,4599,4656,0.22,21163.636363636364,20904.545454545456
2811061000,인천광역시,중구,송월동,4599,4656,0.22,21163.636363636364,20904.545454545456
2811061000,인천광역시,중구,송월동,4599,4656,0.22,21163.636363636364,20904.545454545456
2811061000,인천광역시,중구,송월동,4599,4656,0.22,21163.636363636364,20904.545454545456
2811061000,인천광역시,중구,송월동,4599,4656,0.22,21163.636363636364,20904.545454545456
2811062000,인천광역시,중구,영종동,15429,14955,31.59,473.40930674264007,488.41405508072177
2811062000,인천광역시,중구,영종동,15429,14955,31.59,473.40930674264007,488.41405508072177
2811062000,인천광역시,중구,영종동,15429,14955,31.59,473.40930674264007,488.41405508072177
2811062000,인천광역시,중구,영종동,15429,14955,31.59,473.40930674264007,488.41405508072177
