행정동코드,시도명,시군구명,읍면동명,면적(km^2),2020인구수,2019인구수,인구밀도
1126000000,서울특별시,중랑구,,18496.071,395072,401546,21.709799881282894
1126056500,서울특별시,중랑구,면목본동,18496.071,35269,35701,1.930193715194973
1126065500,서울특별시,중랑구,망우본동,18496.071,30513,31378,1.6964684013161497
1129000000,서울특별시,성북구,,24574.349000000002,442174,439754,17.894838231523448
1129052500,서울특별시,성북구,성북동,24574.349000000002,17031,17231,0.7011782896059626
1129055500,서울특별시,성북구,삼선동,24574.349000000002,24182,26252,1.0682683801715356
1129057500,서울특별시,성북구,동선동,24574.349000000002,15533,15550,0.6327736291203482
1129060000,서울특별시,성북구,안암동,24574.349000000002,15487,15358,0.624960604246322
1129061000,서울특별시,성북구,보문동,24574.349000000002,16179,16556,0.6737106240332145
1129070500,서울특별시,성북구,종암동,24574.349000000002,40034,40663,1.654692866940239
1129081000,서울특별시,성북구,석관동,24574.349000000002,35789,35198,1.4323065078956922
1130500000,서울특별시,강북구,,23600.102,312691,316604,13.415365747148043
1130553400,서울특별시,강북구,삼양동,23600.102,25100,26036,1.1032155708479565
1130553500,서울특별시,강북구,미아동,23600.102,22263,22593,0.9573263708775497
1130554500,서울특별시,강북구,송중동,23600.102,30682,28657,1.2142744128817748
1130555500,서울특별시,강북구,송천동,23600.102,27898,28654,1.2141472947871157
1130557500,서울특별시,강북구,삼각산동,23600.102,32533,33098,1.4024515656754366
1130564500,서울특별시,강북구,우이동,23600.102,21115,21432,0.9081316682444848
1130566000,서울특별시,강북구,인수동,23600.102,32055,32747,1.387578748600324
1132000000,서울특별시,도봉구,,20660.965,330707,337346,16.327698149626602
1135000000,서울특별시,노원구,,35437.538,530302,539884,15.234805533048036
1135061900,서울특별시,노원구,중계본동,35437.538,25572,26439,0.7460732740519389
1138000000,서울특별시,은평구,,29711.421000000002,477973,484267,16.29901848181546
1138051000,서울특별시,은평구,녹번동,29711.421000000002,37970,37304,1.2555441222417467
1138056000,서울특별시,은평구,구산동,29711.421000000002,33349,33731,1.1352873361391902
1138057000,서울특별시,은평구,대조동,29711.421000000002,27377,31874,1.0727861181732101
1138062500,서울특별시,은평구,역촌동,29711.421000000002,47534,48846,1.6440142664331
1138064000,서울특별시,은평구,증산동,29711.421000000002,15780,16261,0.5472979565669377
1138065000,서울특별시,은평구,수색동,29711.421000000002,8714,9804,0.32997412005302607
1138069000,서울특별시,은평구,진관동,29711.421000000002,57683,57173,1.9242768630958444
1141000000,서울특별시,서대문구,,17625.638,312809,311586,17.677998379406183
1141052000,서울특별시,서대문구,천연동,17625.638,18236,18599,1.0552242137277528
1141055500,서울특별시,서대문구,북아현동,17625.638,17040,17218,0.9768724400217457
1141056500,서울특별시,서대문구,충현동,17625.638,17814,17886,1.0147717773393508
1141058500,서울특별시,서대문구,신촌동,17625.638,18851,18765,1.0646423125222475
1141061500,서울특별시,서대문구,연희동,17625.638,37805,37922,2.15152495472788
1144000000,서울특별시,마포구,,23851.343,374426,374824,15.715006069050283
1144055500,서울특별시,마포구,아현동,23851.343,24767,24876,1.0429601385548812
1144056500,서울특별시,마포구,공덕동,23851.343,39615,39912,1.6733648918637412
1144058500,서울특별시,마포구,도화동,23851.343,22200,22420,0.9399889976845329
1144059000,서울특별시,마포구,용강동,23851.343,21871,22001,0.9224218527233455
1144060000,서울특별시,마포구,대흥동,23851.343,13737,11669,0.4892386982150229
1144061000,서울특별시,마포구,염리동,23851.343,12273,12498,0.5239956508947945
1144063000,서울특별시,마포구,신수동,23851.343,23327,21181,0.8880422372861771
1144065500,서울특별시,마포구,서강동,23851.343,25049,25274,1.0596468299499948
1144066000,서울특별시,마포구,서교동,23851.343,24080,24490,1.0267765634832386
1144068000,서울특별시,마포구,합정동,23851.343,18603,18982,0.7958461710101608
1144071000,서울특별시,마포구,연남동,23851.343,15743,16134,0.6764398969064341
1144074000,서울특별시,마포구,상암동,23851.343,31951,32772,1.3740106793986402
1147000000,서울특별시,양천구,,17405.71,457132,462126,26.550252761881016
1150000000,서울특별시,강서구,,41436.853,588281,596233,14.388954682441737
1150000000,서울특별시,강서구,,181494.645,588281,596233,3.285127227858431
1150051000,서울특별시,강서구,염창동,41436.853,42315,41373,0.9984590287298121
1150051000,서울특별시,강서구,염창동,181494.645,42315,41373,0.22795713890070973
1150059000,서울특별시,강서구,화곡본동,41436.853,35255,35816,0.8643513540953508
1150059000,서울특별시,강서구,화곡본동,181494.645,35255,35816,0.1973391556538762
1150061500,서울특별시,강서구,우장산동,41436.853,44266,46001,1.1101470471225214
1150061500,서울특별시,강서구,우장산동,181494.645,44266,46001,0.25345651382717105
1150062000,서울특별시,강서구,공항동,41436.853,27231,27708,0.6686801239466713
1150062000,서울특별시,강서구,공항동,181494.645,27231,27708,0.15266566129265138
2644000000,부산광역시,강서구,,41436.853,131235,126333,3.048807784703148
2644000000,부산광역시,강서구,,181494.645,131235,126333,0.6960701237218322
2644053000,부산광역시,강서구,강동동,41436.853,4607,4826,0.11646637354434228
2644053000,부산광역시,강서구,강동동,181494.645,4607,4826,0.02659031620464615
2644055000,부산광역시,강서구,가락동,41436.853,2523,2632,0.0635183371671589
2644055000,부산광역시,강서구,가락동,181494.645,2523,2632,0.014501805273648707
2644056000,부산광역시,강서구,녹산동,41436.853,32272,31202,0.7530011991982113
2644056000,부산광역시,강서구,녹산동,181494.645,32272,31202,0.17191691798950873
2644058000,부산광역시,강서구,가덕도동,41436.853,3518,3635,0.08772384331406634
2644058000,부산광역시,강서구,가덕도동,181494.645,3518,3635,0.020028139122231402
1153000000,서울특별시,구로구,,20120.106,405271,405516,20.154764592194496
1153051000,서울특별시,구로구,신도림동,20120.106,36480,37171,1.8474554756321862
1153059500,서울특별시,구로구,가리봉동,20120.106,9322,9623,0.47827779833764295
1153079000,서울특별시,구로구,수궁동,20120.106,24280,24922,1.23866146629645
1154500000,서울특별시,금천구,,13020.26,232396,234173,17.98527832777533
1154551000,서울특별시,금천구,가산동,13020.26,21436,20894,1.604729859465172
1156000000,서울특별시,영등포구,,24548.52,372225,368874,15.02632337916909
1156051500,서울특별시,영등포구,영등포본동,24548.52,21753,22241,0.9060016652735073
1156053500,서울특별시,영등포구,영등포동,24548.52,27076,26019,1.059900963479672
1156054000,서울특별시,영등포구,여의동,24548.52,34360,33993,1.3847270629756905
1156058500,서울특별시,영등포구,도림동,24548.52,18462,18899,0.7698631119106162
1156060500,서울특별시,영등포구,문래동,24548.52,32058,31929,1.3006486745433126
1159000000,서울특별시,동작구,,16354.618,394988,399118,24.40399402786418
1159060500,서울특별시,동작구,흑석동,16354.618,32737,32580,1.9920978894156989
1159066000,서울특별시,동작구,대방동,16354.618,39393,39790,2.4329519650046243
1162000000,서울특별시,관악구,,29568.929,498978,502251,16.98576908213348
1162052500,서울특별시,관악구,보라매동,29568.929,24999,25337,0.8568791923440988
1162054500,서울특별시,관악구,청림동,29568.929,15936,16246,0.5494280837834877
1162056500,서울특별시,관악구,성현동,29568.929,30528,32559,1.101122059578147
1162057500,서울특별시,관악구,행운동,29568.929,29562,30031,1.0156269102611055
1162058500,서울특별시,관악구,낙성대동,29568.929,16977,17059,0.5769231614712863
1162059500,서울특별시,관악구,청룡동,29568.929,33587,29386,0.9938134722431103
1162060500,서울특별시,관악구,은천동,29568.929,34482,34926,1.181172304211627
1162061500,서울특별시,관악구,중앙동,29568.929,15597,15366,0.5196671140845176
1162062500,서울특별시,관악구,인헌동,29568.929,26638,26926,0.9106180342209892
1162063000,서울특별시,관악구,남현동,29568.929,18707,18869,0.6381360650566681
1162064500,서울특별시,관악구,서원동,29568.929,23183,23305,0.7881584077664767
1162065500,서울특별시,관악구,신원동,29568.929,18501,18739,0.6337395581693203
1162066500,서울특별시,관악구,서림동,29568.929,23760,24164,0.8172091725067215
1162068500,서울특별시,관악구,신사동,29568.929,22939,23166,0.7834575273253894
1162069500,서울특별시,관악구,신림동,29568.929,21661,21674,0.7329991559721355
1162071500,서울특별시,관악구,난향동,29568.929,16060,16526,0.55889748323316
1162072500,서울특별시,관악구,조원동,29568.929,17551,17444,0.5899435857145857
1162073500,서울특별시,관악구,대학동,29568.929,23623,23802,0.8049665917896451
1162074500,서울특별시,관악구,삼성동,29568.929,24805,25650,0.8674646281574825
1162076500,서울특별시,관악구,미성동,29568.929,31806,32364,1.0945272992471253
1162077500,서울특별시,관악구,난곡동,29568.929,28076,28712,0.9710192749963991
1165000000,서울특별시,서초구,,46983.285,429729,432336,9.20191084978413
1165054000,서울특별시,서초구,잠원동,46983.285,34754,34503,0.7343675522050022
1165055000,서울특별시,서초구,반포본동,46983.285,12035,12313,0.2620719262180156
1165059000,서울특별시,서초구,방배본동,46983.285,21285,21472,0.457013595366948
1165066000,서울특별시,서초구,내곡동,46983.285,18401,18483,0.39339522555734446
1168000000,서울특별시,강남구,,39501.013,543240,542108,13.723901207293089
1168051000,서울특별시,강남구,신사동,39501.013,17143,17490,0.4427734549491174
1168054500,서울특별시,강남구,압구정동,39501.013,27605,27763,0.7028427346913863
1168056500,서울특별시,강남구,청담동,39501.013,28433,29905,0.7570691921242627
1168070000,서울특별시,강남구,세곡동,39501.013,44822,44937,1.1376163947997993
1168072000,서울특별시,강남구,일원본동,39501.013,24228,24546,0.6214017853162399
1168075000,서울특별시,강남구,수서동,39501.013,15687,16134,0.4084452213921704
1171000000,서울특별시,송파구,,33872.729,672862,679824,20.06995066739382
1171056600,서울특별시,송파구,오륜동,33872.729,18819,19057,0.562605983119931
1171057000,서울특별시,송파구,오금동,33872.729,40810,40780,1.203918349773353
1171060000,서울특별시,송파구,석촌동,33872.729,33308,33472,0.988169568504504
1171061000,서울특별시,송파구,삼전동,33872.729,31899,32550,0.9609500315135519
1171062000,서울특별시,송파구,가락본동,33872.729,27451,27605,0.8149623846369155
1171064600,서울특별시,송파구,장지동,33872.729,31180,34342,1.013853947226986
1171064700,서울특별시,송파구,위례동,33872.729,28241,28406,0.8386097264262351
1171065000,서울특별시,송파구,잠실본동,33872.729,28884,29041,0.8573563706662076
1174000000,서울특별시,강동구,,24590.256,455042,424727,17.272166666341334
1174051500,서울특별시,강동구,강일동,24590.256,31797,32450,1.3196283926446313
1174052000,서울특별시,강동구,상일동,24590.256,30627,11015,0.44794165623977233
1174068500,서울특별시,강동구,길동,24590.256,45896,46485,1.8903829224063384
2614000000,부산광역시,서구,,13979.612000000001,107722,110052,7.872321492184475
2614000000,부산광역시,서구,,17333.125,107722,110052,6.349230159016335
2614000000,부산광역시,서구,,117087.39,107722,110052,0.9399133416501982
2614000000,부산광역시,서구,,47748.121,107722,110052,2.304844624147618
2614000000,부산광역시,서구,,95525.52100000001,107722,110052,1.1520690894740055
